tconst,startYear,genre,averageRating,numVotes
tt5231916,2016,Mystery,6.2,2799
tt5232146,2015,Documentary,7.0,10
tt5232206,2015,Drama,7.0,74
tt5232230,2015,Animation,6.5,27
tt5232282,2015,Fantasy,5.4,34
tt5232308,2016,Drama,5.8,1592
tt5232486,2015,Romance,6.7,55
tt5232488,2015,Action,4.8,38
tt5232494,2015,Horror,4.8,65
tt5233554,2015,Drama,5.4,663
tt5233558,2017,Documentary,7.2,3328
tt5234766,2015,Comedy,6.0,10
tt5235020,1995,Family,7.5,61
tt5235162,2012,Animation,8.1,49
tt5235336,2015,War,7.3,18
tt5235548,2016,Horror,5.2,78
tt5235694,2012,Documentary,7.0,24
tt5235880,2016,Comedy,3.1,6107
tt5236110,2015,Romance,5.0,16
tt5236656,2016,Drama,7.1,11
tt5236900,2016,Animation,7.1,924
tt5236920,2018,Documentary,7.7,108
tt5236976,2016,Drama,5.5,29
tt5237304,2014,Horror,7.4,16
tt5237684,2017,Drama,6.6,25
tt5237844,2019,Comedy,4.6,22
tt5238370,2016,Action,5.3,89
tt5238506,2004,Romance,7.8,10
tt5238858,2015,Documentary,7.8,26
tt5239560,2018,Documentary,8.1,44
tt5239564,2016,Romance,5.4,852
tt5239680,2015,Music,8.8,8
tt5239888,2014,Drama,4.1,16
tt5239916,2001,Crime,6.2,26
tt5240170,2011,Drama,7.6,62
tt5240174,2015,Action,7.4,59
tt5240352,2015,Romance,6.3,74
tt5240372,2016,Romance,5.8,1115
tt5240730,2017,Sci-Fi,3.9,252
tt5240766,2015,Drama,3.5,101
tt5241116,2018,Documentary,7.2,32
tt5241380,2015,Horror,5.2,634
tt5241924,2015,Documentary,7.4,21
tt5216486,2006,Action,5.9,34
tt5218784,2015,Drama,5.1,213
tt5220882,2016,Biography,7.2,7
tt5225874,2016,Action,5.1,54
tt5228304,2017,Drama,4.7,4491
tt5229724,2024,Drama,5.0,37
tt5231916,2016,Action,6.2,2799
tt5232494,2015,Drama,4.8,65
tt5235162,2012,Family,8.1,49
tt5236110,2015,Comedy,5.0,16
tt5236900,2016,Biography,7.1,924
tt5238370,2016,Comedy,5.3,89
tt5238506,2004,Comedy,7.8,10
tt5240730,2017,Fantasy,3.9,252
tt5231916,2016,Thriller,6.2,2799
tt5235162,2012,Adventure,8.1,49
tt5242684,2017,Drama,2.9,1037
tt5242754,2015,Crime,2.7,43
tt5242848,2016,Drama,6.4,165
tt5242920,2017,Family,4.5,181
tt5243476,2016,Music,7.3,159
tt5243796,2016,Documentary,7.2,470
tt5243924,2014,Thriller,5.7,29
tt5246020,2016,Biography,7.7,13
tt5246144,2014,Documentary,7.4,18
tt5246690,2012,Drama,4.6,6
tt5246700,2018,Action,5.1,62354
tt5246840,2011,Action,4.8,8
tt5246902,2018,Crime,4.5,1201
tt5246928,2015,Horror,5.3,744
tt5247022,2016,Comedy,7.3,93681
tt5247368,2011,Comedy,6.1,24
tt5247578,2006,Family,8.0,227
tt5247704,2017,Comedy,6.8,6028
tt5247736,2015,Drama,7.0,187
tt5247780,2012,Horror,2.9,23
tt5248478,2015,Documentary,8.8,103
tt5249710,2017,Mystery,6.3,17
tt5250516,2022,Crime,5.3,283
tt5250946,2015,Documentary,6.8,7
tt5251328,2016,Action,7.1,8493
tt5251598,2015,Comedy,6.9,466
tt5251716,2015,Thriller,5.6,47
tt5251806,2015,Action,6.6,30
tt5252250,2015,Action,8.5,876
tt5252768,2002,Thriller,4.2,34
tt5253610,2015,Biography,5.9,74
tt5254154,2017,Music,3.6,252
tt5254456,2016,Documentary,7.6,6
tt5254458,2008,Horror,8.0,412
tt5254868,2016,Horror,5.3,11017
tt5255194,2015,Comedy,6.4,104
tt5255314,2015,Drama,7.2,65
tt5255524,2016,Western,4.8,2939
tt5255560,2015,Music,8.8,15
tt5255594,2022,Thriller,3.5,325
tt5255710,2016,Musical,7.6,22360
tt5255882,2015,Sport,8.2,63
tt5255920,2001,Comedy,6.0,11
tt5256044,2016,Drama,6.7,572
tt5256424,2003,Action,4.1,12
tt5257554,2017,Sci-Fi,3.7,959
tt5258194,2018,Romance,6.9,120
tt5258306,2016,Documentary,6.5,223
tt5258842,2017,Drama,5.1,31
tt5258850,2017,Crime,7.4,11974
tt5259120,2015,Documentary,6.5,21
tt5259252,2015,Documentary,6.6,24
tt5259498,2017,Drama,6.4,403
tt5259560,2015,Documentary,6.1,12
tt5259598,2017,Action,2.7,551
tt5259978,2016,Thriller,7.4,397
tt5260026,2016,Romance,4.9,242
tt5260860,2014,Biography,3.5,109
tt5260932,2025,Comedy,8.8,102
tt5261190,2017,Drama,6.6,66
tt5261644,2016,Family,6.1,245
tt5262176,2015,Sport,7.0,36
tt5263326,2017,Drama,7.2,29
